DATE,DESCRIPTION,DEBIT,CREDIT,BALANCE,CATEGORY,LABEL_SOURCE,CONFIDENCE,RAW_ROW
2026-01-01,Opening Balance,0.0,0.0,50000.0,UNCATEGORIZED,rule,0.25,"{'DATE': '2026-01-01T00:00:00', 'DESCRIPTION': 'Opening Balance', 'DEBIT': 0.0, 'CREDIT': 0.0, 'BALANCE': 50000.0}"
2026-01-03,Salary ACME Corp,0.0,75000.0,125000.0,INCOME,rule,0.83,"{'DATE': '2026-01-03T00:00:00', 'DESCRIPTION': 'Salary ACME Corp', 'DEBIT': 0.0, 'CREDIT': 75000.0, 'BALANCE': 125000.0}"
2026-01-05,Rent Transfer to Landlord,20000.0,0.0,105000.0,TRANSFER,rule,0.83,"{'DATE': '2026-01-05T00:00:00', 'DESCRIPTION': 'Rent Transfer to Landlord', 'DEBIT': 20000.0, 'CREDIT': 0.0, 'BALANCE': 105000.0}"
2026-01-06,Electricity Bill Payment,3500.0,0.0,101500.0,UTILITIES,rule,0.83,"{'DATE': '2026-01-06T00:00:00', 'DESCRIPTION': 'Electricity Bill Payment', 'DEBIT': 3500.0, 'CREDIT': 0.0, 'BALANCE': 101500.0}"
2026-01-07,Swiggy Order #8211,650.0,0.0,100850.0,FOOD,rule,0.83,"{'DATE': '2026-01-07T00:00:00', 'DESCRIPTION': 'Swiggy Order #8211', 'DEBIT': 650.0, 'CREDIT': 0.0, 'BALANCE': 100850.0}"
2026-01-09,Uber Trip Bangalore,450.0,0.0,100400.0,TRAVEL,rule,0.83,"{'DATE': '2026-01-09T00:00:00', 'DESCRIPTION': 'Uber Trip Bangalore', 'DEBIT': 450.0, 'CREDIT': 0.0, 'BALANCE': 100400.0}"
2026-01-10,Netflix Subscription,499.0,0.0,99901.0,SUBSCRIPTION,rule,0.91,"{'DATE': '2026-01-10T00:00:00', 'DESCRIPTION': 'Netflix Subscription', 'DEBIT': 499.0, 'CREDIT': 0.0, 'BALANCE': 99901.0}"
2026-01-12,ATM Cash Withdrawal,5000.0,0.0,94901.0,CASH,rule,0.98,"{'DATE': '2026-01-12T00:00:00', 'DESCRIPTION': 'ATM Cash Withdrawal', 'DEBIT': 5000.0, 'CREDIT': 0.0, 'BALANCE': 94901.0}"
2026-01-14,Savings Interest,0.0,120.0,95021.0,INCOME,rule,0.83,"{'DATE': '2026-01-14T00:00:00', 'DESCRIPTION': 'Savings Interest', 'DEBIT': 0.0, 'CREDIT': 120.0, 'BALANCE': 95021.0}"
2026-01-16,UPI Transfer to Ravi,2500.0,0.0,92521.0,TRANSFER,rule,0.91,"{'DATE': '2026-01-16T00:00:00', 'DESCRIPTION': 'UPI Transfer to Ravi', 'DEBIT': 2500.0, 'CREDIT': 0.0, 'BALANCE': 92521.0}"
2026-01-18,Amazon Shopping,3200.0,0.0,89321.0,SHOPPING,rule,0.91,"{'DATE': '2026-01-18T00:00:00', 'DESCRIPTION': 'Amazon Shopping', 'DEBIT': 3200.0, 'CREDIT': 0.0, 'BALANCE': 89321.0}"
2026-01-20,Pharmacy Purchase,780.0,0.0,88541.0,HEALTH,rule,0.83,"{'DATE': '2026-01-20T00:00:00', 'DESCRIPTION': 'Pharmacy Purchase', 'DEBIT': 780.0, 'CREDIT': 0.0, 'BALANCE': 88541.0}"
2026-01-24,Insurance Premium,5500.0,0.0,83041.0,LOAN,rule,0.83,"{'DATE': '2026-01-24T00:00:00', 'DESCRIPTION': 'Insurance Premium', 'DEBIT': 5500.0, 'CREDIT': 0.0, 'BALANCE': 83041.0}"
